scaffold,R1(P-sub),R2(C-sub),R3(N-sub)
[SiH3][C@@H](CP([SiH3])[SiH3])N([SiH3])[S@@](C(C)(C)C)=O,[SiH3]C,[SiH3]C,[SiH3]C
,[SiH3]C(C)(C)C,[SiH3]C(C)C,[SiH3]C(C)(C)C
,[SiH3]C1CCCCC1,[SiH3]C(C)(C)C,[SiH3]C1CCCCC1
,[SiH3]CC1=CC=CC=C1,[SiH3]C1CCCCC1,[SiH3]CC=C
,[SiH3]C1=C(C)C=CC=C1C,[SiH3]CC1=CC=CC=C1,[SiH3]CC1=CC=CC=C1
,[SiH3]C1=CC(C)=CC(C)=C1,[SiH3]C1=C(C)C=CC=C1C,[SiH3]CC1=C(C)C=CC=C1C
,[SiH3]C1=CC=C(C)C=C1,[SiH3]C1=CC(C)=CC(C)=C1,[SiH3]CC1=CC(C)=CC(C)=C1
,[SiH3]C1=CC=C(OC)C=C1,[SiH3]C1=CC=C(C)C=C1,[SiH3]CC1=CC=C(C)C=C1
,[SiH3]C1=CC=C(C#N)C=C1,[SiH3]C1=C(OC)C=CC=C1OC,[SiH3]CC1=C(OC)C=CC=C1OC
,[SiH3]C1=CC=C(F)C=C1,[SiH3]C1=CC(OC)=CC(OC)=C1,[SiH3]CC1=CC(OC)=CC(OC)=C1
,[SiH3]C1=CC=CC2=C1C=CC=C2,[SiH3]C1=CC=C(OC)C=C1,[SiH3]CC1=CC=C(OC)C=C1
,[SiH3]C1=CC=C(C=CC=C2)C2=C1,[SiH3]C1=C(C#N)C=CC=C1C#N,[SiH3]CC1=C(F)C=CC=C1F
,[SiH3]C1=CC=CC=C1,[SiH3]C1=CC(C#N)=CC(C#N)=C1,[SiH3]CC1=CC(F)=CC(F)=C1
,,[SiH3]C1=CC=C(C#N)C=C1,[SiH3]CC1=CC=C(F)C=C1
,,[SiH3]C1=C(F)C=CC=C1F,[SiH3]CC1=CC(C=CC=C2)=C2C=C1
,,[SiH3]C1=CC(F)=CC(F)=C1,[SiH3]CC1=C(C=CC=C2)C2=CC=C1
,,[SiH3]C1=CC=C(F)C=C1,[SiH3]CC1=C(C=CC=C2)C2=CC3=C1C=CC=C3
,,[SiH3]C1=CC=CC2=C1C=CC=C2,[SiH3]CC1=CSC=C1
,,[SiH3]C1=CC=C(C=CC=C2)C2=C1,[SiH3]CC1=CC=CS1
,,[SiH3]C1=C(C=CC=C2)C2=CC3=C1C=CC=C3,[SiH3]CC1=CC=NC=C1
,,[SiH3]C1=CC=NC=C1,[SiH3]CC1=CN=CC=C1
,,[SiH3]C1=CN=CC=C1,[SiH3]CC1=NC=CC=C1
,,[SiH3]C1=NC=CC=C1,[SiH3]CC1=COC=C1
,,[SiH3]C1=COC=C1,[SiH3]CC1=CC=CO1
,,[SiH3]C1=CC=CO1,[SiH3]CC1=CN(C=C1)C
,,[SiH3]C1=CSC=C1,[SiH3]CC1=CC=CN1C
,,[SiH3]C1=CC=CS1,[SiH3]CC1=CC=C(C=C1)C#N
,,[SiH3]C1=CN(C=C1)C,[SiH3]CC1=CC(C(C)(C)C)=CC(C(C)(C)C)=C1
,,[SiH3]C1=CC=CN1C,
,,[SiH3]C1=CC=CC=C1,
,,[SiH3]C1=C(C2=CC=CC=C2)C=CC=C1,
